,질문,답변
335,중국 2030 소비자 중심의 1인 크리에이터 컨텐츠 구매 의도에 대한 논문을 찾아줘,"관련된 논문은 ""1인 크리에이터 컨텐츠 구매의도에 대한 영향요인 분석: 중국 2030 소비자를 중심으로""입니다. 이 논문은 옥경영에 의해 2020년에 발행되었습니다. 논문에서는 중국의 1인 크리에이터들이 컨텐츠를 통해 어떻게 브랜드 언급과 라이브 방송을 통한 소셜미디어 플랫폼 인센티브로 수익을 창출하는지 분석합니다. 특히 2019년 기준 미국에 이어 혁신기업을 많이 배출한 중국의 성공 요인을 탐구하며, 그 중심에는 공격적인 정책과 전자상거래 생태계 형성이 있음을 언급합니다. 이 논문은 중국의 전자상거래 생태계를 구성하는 1인 크리에이터 컨텐츠가 전자상거래 시장 활성화에 어떠한 영향을 미치는지에 대해 학문적으로 접근하고 있습니다."
336,인사담당자의 긍정심리자본과 혁신행동 논문을 찾아줘,"관련된 논문은 ""인사담당자의 긍정심리자본이 혁신행동에 미치는 영향: 자기주도학습의 매개효과""입니다. 이 논문은 이가현에 의해 2020년에 발행되었습니다. 본 연구는 기업에서 인간의 창의성을 바탕으로 하는 혁신행동의 중요성을 강조하며, 이를 위해 인사담당자의 긍정심리자본이 어떻게 자기주도학습 능력을 통해 혁신행동에 영향을 미치는지를 심층적으로 분석합니다. 이를 통해 혁신행동 관련 연구의 범위를 넓히고, 실제 기업 환경에서의 적용 가능성을 탐색하며, 긍정심리자본과 자기주도학습의 역할을 중시하는 새로운 관점을 제시합니다."
337,금리 스프레드의 경제 예측력에 대한 논문을 찾아줘,"관련된 논문은 ""금리 스프레드의 경제 예측력에 관한 비교 연구: 스프레드 구간과 금융위기 전후 분석을 중심으로""입니다. 이 논문은 은희문과 제백재에 의해 2020년에 발행되었습니다. 연구의 핵심 내용으로, 금리 스프레드가 실물경제에 대한 예측력을 지니고 있는지를 다각도에서 검토했습니다. 특히, GDP와 KOSPI 지수를 중심으로 기간스프레드의 예측력을 분석하여, GDP 예측에는 TSP3 스프레드, KOSPI 예측에는 TSP1 스프레드가 뛰어난 예측력을 보이는 것으로 나타났습니다. 또한, 신용스프레드와 관련해서는 GDP에 대한 CSP와 CSP1 모두 2개월 시차 모형에서 높은 설명력을 보였다는 점이 도출되었습니다. 이 연구는 금리 스프레드가 경제적 변수들의 변동을 예측하는 데 있어 중요한 지표로 활용될 수 있음을 보여줍니다."
338,조직구성원의 인지적 유연성과 혁신행동 및 디지털 리터러시 연구 논문을 찾아줘,"관련된 논문은 ""조직구성원의 인지적 유연성이 혁신행동에 미치는 영향: 디지털 리터러시의 매개효과""입니다. 저자는 최지원, 제이희이며, 2020년에 발행되었습니다. 이 논문은 4차 산업혁명 시대의 디지털 리터러시가 단순한 정보 습득이나 활용의 도구를 넘어서 중요한 생활 필수 역량으로 자리매김하고 있음을 언급합니다. 또한, 동적인 경영 환경에서 조직구성원들의 혁신행동은 더욱 중요해지고 있으며, 이러한 혁신행동을 발전시키기 위해 인지적 유연성이 어떤 역할을 하는지, 그리고 디지털 리터러시가 이 두 변수 사이의 상호작용에서 어떤 매개 역할을 하는지에 대해 탐구합니다. 이는 혁신을 추구하는 조직들에게 인사이트를 제공하며, 디지털 리터러시의 중요성과 구성원들의 인지적 유연성 증진 방안에 대한 이해를 심화시킵니다."
339,비인격적 감독과 정서적 소진의 관계에 대한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""비인격적 감독과 정서적 소진의 관계: LMX와 꽌시의 역할을 중심으로""입니다. 저자는 최병권이며, 2020년에 발행되었습니다. 이 논문에서는 상사에 의한 비인격적 감독이 부하 직원의 정서적 소진을 어떻게 증가시키는지를 LMX(리더-멤버 교환)를 매개로 탐구합니다. 또한, 상사-부하 간의 꽌시, 즉 개인적 관계의 질이 어떻게 이러한 관계에 영향을 미치는지 살펴보며, 특히 상사와 높은 꽌시를 가진 부하 직원에게 비인격적 감독의 영향이 더 크게 나타나는 것을 발견하였습니다. 이 연구는 조직에서의 인간적 관계와 정서적 웰빙에 대한 깊은 이해를 제공합니다."
340,공공성 개념의 학제적 이해와 현실적 쟁점에 대한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""공공성 개념: 학제적 이해 및 현실적 쟁점""이라는 제목으로, 저자 권향원이 2020년에 발행했습니다. 이 논문은 공공성 개념에 대한 다양한 학문 분야의 이해와 실제 사회적 삶에서의 공공성이 어떻게 현실적 쟁점으로 다뤄지는지를 탐색합니다. 특히, 행정과 정책 분야에서 사회적 공동의 문제를 어떻게 정의하고 대응할 것인지에 대한 심도 깊은 논의를 제공합니다. 이는 여러 전공 배경을 가진 연구자들이 함께 참여하는 다학제적 접근이 필수적임을 강조하며, 공공문제의 진단과 해결 과정에서 광범위한 이해와 협력이 중요함을 보여줍니다."
341,J.J. Rousseau의 문명관과 일반의지에 관한 논문을 찾아줘,"관련된 논문은 ""공공성의 정치철학적 기초: J.J. Rousseau의 문명관과 일반의지를 중심으로""입니다. 저자 임의영은 2020년에 이 논문을 발표하였습니다. 이 연구는 장-자크 루소가 문명사회, 특히 당대의 상업사회의 본질을 비판적으로 분석하고, 인간의 진정한 행복을 추구하는 조건을 탐색하는 데 평생을 바쳤다는 점에 주목합니다. 루소는 사회계약론을 통해 진정한 민주주의의 실현 가능성을 모색했으며, 교육을 통해 고상한 시민을 육성함으로써 상업사회가 초래하는 불평등과 같은 악에서 벗어날 수 있는 방법을 제안했습니다. 이 논문은 루소의 정치철학적 사상, 특히 그의 문명 비판과 일반의지에 대한 개념을 중심으로 공공성의 기초를 탐구합니다."
342,OECD 국가들의 공무원 인사제도에 관한 논문을 찾아줘,"관련된 논문은 ""공무원 인사제도의 유형과 차이: OECD 국가들의 경우""입니다. 이 논문의 저자는 박종민이며, 2020년에 발행되었습니다. 내용에 따르면, 이 연구는 공무원 인사제도의 여러 요소들—충원, 선발기준, 직무평가, 훈련개발, 성과평가—을 살펴보면서, OECD 회원국들이 신공공관리의 개혁 움직임 속에서 인사제도가 어떻게 유형화되고, 국가 별 역사와 전통에 따라 어떠한 차이점을 보이는지, 그리고 이러한 인사제도의 유형화가 관료제의 행태 및 행정의 질과 어떻게 관련되어 있는지를 분석하고자 합니다."
343,한국 관료제의 위기: ‘정치화’의 역설에 대한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""한국 관료제의 위기: ‘정치화’의 역설""입니다. 저자는 이창길이며, 2020년에 발행되었습니다. 이 논문에서는 한국 관료제가 직면한 위기를 과거의 개발연대에 기반한 집행 관료제적 패러다임에서 민주적 공무원 패러다임으로의 전환 과정에서 발생한 것으로 진단합니다. 또한, 관료제의 정치화 연구에 대해 거버넌스 패러다임의 변화 속에서 관료제의 변동성을 고려해 논의할 필요성을 제기합니다. 본 연구는 정치적 중립성과 대응성 사이의 균형을 모색하면서 관료제의 정치화에 대한 새로운 개념과 유형을 제안하고, 그 원인과 결과에 대해 심도 있는 논의를 담고 있습니다."
344,지방 공무원의 전문성에 대한 연구에 관한 논문을 찾아줄 수 있나요?,"관련된 논문은 ""지방 공무원의 전문성에 대한 연구: 정치화와 계급제 기반 관료제를 중심으로""입니다. 이 논문은 윤견수, 제정민이 2020년에 작성했습니다. 논문에서는 회전날개형 인사관행이 공무원들이 실무에서 경험하며 관리역량을 개발하는 과정에서 Z형 보직경로의 단점을 어느 정도 보완해줄 수 있다고 언급합니다. 하지만, 이 인사관행이 오히려 계급제의 부정적인 면을 강화시키는 문제를 야기했으며, 이 문제를 해결하기 위해 인사교류와 같은 전문성 보완 방안이 필요함을 강조하고 있습니다. 이러한 분석을 통해, 지방 공무원들이 직면한 전문성 발달과 관련된 도전 및 인사제도의 개선 방향에 대해 심도 있게 연구하고 있습니다."
345,주관적 행복과 객관적 삶의 질 차이에 관한 논문을 찾아줘,"관련된 논문은 ""주관적 행복과 객관적 삶의 질 차이의 지역분포 분석: 지역역량(regional capability)의 관점에서""입니다. 이 논문은 구교준에 의해 2020년에 발행되었습니다. 이 연구는 물리적 조건과 주관적 행복 사이에 존재하는 괴리가 정책적 측면에서 어떠한 의미를 가지는지 탐색합니다. 본 논문에서는 기초자치단체 수준에서, 지역의 물리적 환경이 주관적 행복으로 어떻게 전환될 수 있는지를 설명하는 지역역량에 주목합니다. 여기서 지역역량이란, 지역에 사는 사람들이 자신들이 속한 지역의 물리적 환경이 제공하는 가능성을 어떻게 주관적 행복 증진을 위해 효과적으로 활용할 수 있는지를 나타냅니다. 이 연구는 지방정부의 전략 수립 시, 주관적 행복을 증진시키기 위한 정책 방향 설정에 있어 중요한 함의를 제공합니다."
346,공무원의 공공봉사동기와 조직효과성에 대한 논문을 찾아줘,"관련된 논문은 ""공무원의 공공봉사동기(PSM)가 조직효과성에 미치는 영향: 내적 보상과 외적 보상의 조절효과를 중심으로"" 입니다. 이 논문은 정재호 저자에 의해 2020년에 발행되었습니다. 논문은 공무원의 공공봉사동기가 조직의 직무성과 및 조직시민행동에 어떠한 영향을 미치는지 평가함으로써 조직효과성을 분석합니다. 공공부문에서 공무원의 공공봉사동기가 이타적 동기로 인식되고 있지만, 개인의 동기구조가 복잡하고 다양하다는 점에서 시작한 연구로, 내적 보상과 외적 보상의 조절효과를 중심으로 공무원의 공공봉사동기와 조직효과성과의 관계를 심도 있게 다룹니다. 이 연구는 공공부문의 관리 및 정책 결정에 있어 중요한 시사점을 제공합니다."
347,보통교부세 기초수요액 산정의 특성 분석에 대한 논문을 찾아줘,        
348,재정분권과 광역-기초 세목조정 방안 연구에 관한 논문을 찾아줘,"관련된 논문은 ""재정분권 추진과 연계한 광역과 기초 간 세목조정 방안 연구"" 입니다. 이 논문은 한재명, 제최진에 의해 2020년에 발행되었습니다. 내용으로는, 광역과 기초 자치단체 간의 세원 분배 구조를 적절히 재편하고, 기초자치단체의 이전재원에 대한 과도한 의존을 줄이기 위한 방안을 탐색합니다. 연구의 목적은 세수 및 세입의 형평성을 개선하고, 광역과 기초 각각의 자치단체가 책임을 지면서도 효율적으로 재정을 운용할 수 있는 기반을 마련하는 데에 있습니다. 이를 통해, 지방재정의 자립도를 높이고, 건전한 재정 운용을 가능하게 하는 데 기여하려는 연구입니다."
